Entity,Code,Year,Wind (% equivalent primary energy)
Brazil,BRA,1968,0.0
Brazil,BRA,1969,0.0
Brazil,BRA,1970,0.0
Brazil,BRA,1971,0.0
Brazil,BRA,1972,0.0
Brazil,BRA,1973,0.0
Brazil,BRA,1974,0.0
Brazil,BRA,1975,0.0
Brazil,BRA,1976,0.0
Brazil,BRA,1977,0.0
Brazil,BRA,1978,0.0
Brazil,BRA,1979,0.0
Brazil,BRA,1980,0.0
Brazil,BRA,1981,0.0
Brazil,BRA,1982,0.0
Brazil,BRA,1983,0.0
Brazil,BRA,1984,0.0
Brazil,BRA,1985,0.0
Brazil,BRA,1986,0.0
Brazil,BRA,1987,0.0
Brazil,BRA,1988,0.0
Brazil,BRA,1989,0.0
Brazil,BRA,1990,0.0
Brazil,BRA,1991,0.0
Brazil,BRA,1992,0.0
Brazil,BRA,1993,0.0
Brazil,BRA,1994,0.0
Brazil,BRA,1995,0.0
Brazil,BRA,1996,0.00029285296
Brazil,BRA,1997,0.0005540538
Brazil,BRA,1998,0.00066744006
Brazil,BRA,1999,0.00026256527
Brazil,BRA,2000,0.00012837391
Brazil,BRA,2001,0.004575342
Brazil,BRA,2002,0.00774941
Brazil,BRA,2003,0.007558866
Brazil,BRA,2004,0.0071674674
Brazil,BRA,2005,0.0105437515
Brazil,BRA,2006,0.02606076
Brazil,BRA,2007,0.068235755
Brazil,BRA,2008,0.1161606
Brazil,BRA,2009,0.12151038
Brazil,BRA,2010,0.19274716
Brazil,BRA,2011,0.22770676
Brazil,BRA,2012,0.4146617
Brazil,BRA,2013,0.51876575
Brazil,BRA,2014,0.9354855
Brazil,BRA,2015,16911433.0
Brazil,BRA,2016,26625009.0
Brazil,BRA,2017,33128626.0
Brazil,BRA,2018,37529275.0
Brazil,BRA,2019,42314444.0
Brazil,BRA,2020,44946084.0
Brazil,BRA,2021,54190493.0
Chile,CHL,1965,0.0
Chile,CHL,1966,0.0
Chile,CHL,1967,0.0
Chile,CHL,1968,0.0
Chile,CHL,1969,0.0
Chile,CHL,1970,0.0
Chile,CHL,1971,0.0
Chile,CHL,1972,0.0
Chile,CHL,1973,0.0
Chile,CHL,1974,0.0
Chile,CHL,1975,0.0
Chile,CHL,1976,0.0
Chile,CHL,1977,0.0
Chile,CHL,1978,0.0
Chile,CHL,1979,0.0
Chile,CHL,1980,0.0
Chile,CHL,1981,0.0
Chile,CHL,1982,0.0
Chile,CHL,1983,0.0
Chile,CHL,1984,0.0
Chile,CHL,1985,0.0
Chile,CHL,1986,0.0
Chile,CHL,1987,0.0
Chile,CHL,1988,0.0
Chile,CHL,1989,0.0
Chile,CHL,1990,0.0
Chile,CHL,1991,0.0
Chile,CHL,1992,0.0
Chile,CHL,1993,0.0
Chile,CHL,1994,0.0
Chile,CHL,1995,0.0
Chile,CHL,1996,0.0
Chile,CHL,1997,0.0
Chile,CHL,1998,0.0
Chile,CHL,1999,0.0
Chile,CHL,2000,0.0
Chile,CHL,2001,0.006560041
Chile,CHL,2002,0.006301001
Chile,CHL,2003,0.0062964964
Chile,CHL,2004,0.004258481
Chile,CHL,2005,0.0056928615
Chile,CHL,2006,0.0052957027
Chile,CHL,2007,0.008251754
Chile,CHL,2008,0.028095406
Chile,CHL,2009,0.05906008
Chile,CHL,2010,0.24095778
Chile,CHL,2011,0.22866446
Chile,CHL,2012,0.26837742
Chile,CHL,2013,0.3520819
Chile,CHL,2014,0.9453247
Chile,CHL,2015,13447987.0
Chile,CHL,2016,14771858.0
Chile,CHL,2017,21508203.0
Chile,CHL,2018,20279224.0
Chile,CHL,2019,2677362.0
Chile,CHL,2020,32699325.0
Chile,CHL,2021,5368247.0
Colombia,COL,1965,0.0
Colombia,COL,1966,0.0
Colombia,COL,1967,0.0
Colombia,COL,1968,0.0
Colombia,COL,1969,0.0
Colombia,COL,1970,0.0
Colombia,COL,1971,0.0
Colombia,COL,1972,0.0
Colombia,COL,1973,0.0
Colombia,COL,1974,0.0
Colombia,COL,1975,0.0
Colombia,COL,1976,0.0
Colombia,COL,1977,0.0
Colombia,COL,1978,0.0
Colombia,COL,1979,0.0
Colombia,COL,1980,0.0
Colombia,COL,1981,0.0
Colombia,COL,1982,0.0
Colombia,COL,1983,0.0
Colombia,COL,1984,0.0
Colombia,COL,1985,0.0
Colombia,COL,1986,0.0
Colombia,COL,1987,0.0
Colombia,COL,1988,0.0
Colombia,COL,1989,0.0
Colombia,COL,1990,0.0
Colombia,COL,1991,0.0
Colombia,COL,1992,0.0
Colombia,COL,1993,0.0
Colombia,COL,1994,0.0
Colombia,COL,1995,0.0
Colombia,COL,1996,0.0
Colombia,COL,1997,0.0
Colombia,COL,1998,0.0
Colombia,COL,1999,0.0
Colombia,COL,2000,0.0
Colombia,COL,2001,0.0
Colombia,COL,2002,0.0
Colombia,COL,2003,0.0
Colombia,COL,2004,0.04610803
Colombia,COL,2005,0.043469526
Colombia,COL,2006,0.049196307
Colombia,COL,2007,0.03860293
Colombia,COL,2008,0.038356546
Colombia,COL,2009,0.04162591
Colombia,COL,2010,0.026306374
Colombia,COL,2011,0.027054999
Colombia,COL,2012,0.033437207
Colombia,COL,2013,0.034717783
Colombia,COL,2014,0.04004894
Colombia,COL,2015,0.03832935
Colombia,COL,2016,0.02700297
Colombia,COL,2017,0.0016016387
Colombia,COL,2018,0.022105752
Colombia,COL,2019,0.031140871
Colombia,COL,2020,0.0055207815
Colombia,COL,2021,0.02931148
Ecuador,ECU,1965,0.0
Ecuador,ECU,1966,0.0
Ecuador,ECU,1967,0.0
Ecuador,ECU,1968,0.0
Ecuador,ECU,1969,0.0
Ecuador,ECU,1970,0.0
Ecuador,ECU,1971,0.0
Ecuador,ECU,1972,0.0
Ecuador,ECU,1973,0.0
Ecuador,ECU,1974,0.0
Ecuador,ECU,1975,0.0
Ecuador,ECU,1976,0.0
Ecuador,ECU,1977,0.0
Ecuador,ECU,1978,0.0
Ecuador,ECU,1979,0.0
Ecuador,ECU,1980,0.0
Ecuador,ECU,1981,0.0
Ecuador,ECU,1982,0.0
Ecuador,ECU,1983,0.0
Ecuador,ECU,1984,0.0
Ecuador,ECU,1985,0.0
Ecuador,ECU,1986,0.0
Ecuador,ECU,1987,0.0
Ecuador,ECU,1988,0.0
Ecuador,ECU,1989,0.0
Ecuador,ECU,1990,0.0
Ecuador,ECU,1991,0.0
Ecuador,ECU,1992,0.0
Ecuador,ECU,1993,0.0
Ecuador,ECU,1994,0.0
Ecuador,ECU,1995,0.0
Ecuador,ECU,1996,0.0
Ecuador,ECU,1997,0.0
Ecuador,ECU,1998,0.0
Ecuador,ECU,1999,0.0
Ecuador,ECU,2000,0.0
Ecuador,ECU,2001,0.0
Ecuador,ECU,2002,0.0
Ecuador,ECU,2003,0.0
Ecuador,ECU,2004,0.0
Ecuador,ECU,2005,0.0
Ecuador,ECU,2006,0.0
Ecuador,ECU,2007,0.0020256185
Ecuador,ECU,2008,0.005253706
Ecuador,ECU,2009,0.0063977954
Ecuador,ECU,2010,0.0061392607
Ecuador,ECU,2011,0.005601301
Ecuador,ECU,2012,0.0037849727
Ecuador,ECU,2013,0.08608986
Ecuador,ECU,2014,0.11456654
Ecuador,ECU,2015,0.14149866
Ecuador,ECU,2016,0.11993395
Ecuador,ECU,2017,0.100396864
Ecuador,ECU,2018,0.103131704
Ecuador,ECU,2019,0.10669163
Ecuador,ECU,2020,0.11104507
Ecuador,ECU,2021,0.07663507
Mexico,MEX,1965,0.0
Mexico,MEX,1966,0.0
Mexico,MEX,1967,0.0
Mexico,MEX,1968,0.0
Mexico,MEX,1969,0.0
Mexico,MEX,1970,0.0
Mexico,MEX,1971,0.0
Mexico,MEX,1972,0.0
Mexico,MEX,1973,0.0
Mexico,MEX,1974,0.0
Mexico,MEX,1975,0.0
Mexico,MEX,1976,0.0
Mexico,MEX,1977,0.0
Mexico,MEX,1978,0.0
Mexico,MEX,1979,0.0
Mexico,MEX,1980,0.0
Mexico,MEX,1981,0.0
Mexico,MEX,1982,0.0
Mexico,MEX,1983,0.0
Mexico,MEX,1984,0.0
Mexico,MEX,1985,0.0
Mexico,MEX,1986,0.0
Mexico,MEX,1987,0.0
Mexico,MEX,1988,0.0
Mexico,MEX,1989,0.0
Mexico,MEX,1990,0.00023135665
Mexico,MEX,1991,0.00022275026
Mexico,MEX,1992,0.00021883973
Mexico,MEX,1993,0.00021772584
Mexico,MEX,1994,0.0010343557
Mexico,MEX,1995,0.0014699651
Mexico,MEX,1996,0.0012220396
Mexico,MEX,1997,0.0024031615
Mexico,MEX,1998,0.0028769819
Mexico,MEX,1999,0.0032171444
Mexico,MEX,2000,0.0034340462
Mexico,MEX,2001,0.0032735253
Mexico,MEX,2002,0.00367897
Mexico,MEX,2003,0.00328153
Mexico,MEX,2004,0.0032556818
Mexico,MEX,2005,0.0028874904
Mexico,MEX,2006,0.006586638
Mexico,MEX,2007,0.035895593
Mexico,MEX,2008,0.035892416
Mexico,MEX,2009,0.08417534
Mexico,MEX,2010,0.16876855
Mexico,MEX,2011,0.21292964
Mexico,MEX,2012,0.47088408
Mexico,MEX,2013,0.5288304
Mexico,MEX,2014,0.81083405
Mexico,MEX,2015,1098291.0
Mexico,MEX,2016,12792367.0
Mexico,MEX,2017,12826806.0
Mexico,MEX,2018,15784972.0
Mexico,MEX,2019,209368.0
Mexico,MEX,2020,2896915.0
Mexico,MEX,2021,29002602.0
Peru,PER,1965,0.0
Peru,PER,1966,0.0
Peru,PER,1967,0.0
Peru,PER,1968,0.0
Peru,PER,1969,0.0
Peru,PER,1970,0.0
Peru,PER,1971,0.0
Peru,PER,1972,0.0
Peru,PER,1973,0.0
Peru,PER,1974,0.0
Peru,PER,1975,0.0
Peru,PER,1976,0.0
Peru,PER,1977,0.0
Peru,PER,1978,0.0
Peru,PER,1979,0.0
Peru,PER,1980,0.0
Peru,PER,1981,0.0
Peru,PER,1982,0.0
Peru,PER,1983,0.0
Peru,PER,1984,0.0
Peru,PER,1985,0.0
Peru,PER,1986,0.0
Peru,PER,1987,0.0
Peru,PER,1988,0.0
Peru,PER,1989,0.0
Peru,PER,1990,0.0
Peru,PER,1991,0.0
Peru,PER,1992,0.0
Peru,PER,1993,0.0
Peru,PER,1994,0.0
Peru,PER,1995,0.0
Peru,PER,1996,0.00085481664
Peru,PER,1997,0.0012714657
Peru,PER,1998,0.0010542623
Peru,PER,1999,0.0012301041
Peru,PER,2000,0.0015909856
Peru,PER,2001,0.002397622
Peru,PER,2002,0.0023234582
Peru,PER,2003,0.0023370008
Peru,PER,2004,0.0021815838
Peru,PER,2005,0.0020858152
Peru,PER,2006,0.0020504354
Peru,PER,2007,0.0018581117
Peru,PER,2008,0.0017114837
Peru,PER,2009,0.0016690692
Peru,PER,2010,0.001453876
Peru,PER,2011,0.0013063148
Peru,PER,2012,0.0012550411
Peru,PER,2013,0.0012278297
Peru,PER,2014,0.25485983
Peru,PER,2015,0.5580815
Peru,PER,2016,0.9304947
Peru,PER,2017,0.90626657
Peru,PER,2018,11970791.0
Peru,PER,2019,12770326.0
Peru,PER,2020,16505098.0
Peru,PER,2021,14149804.0
Venezuela,VEN,1965,0.0
Venezuela,VEN,1966,0.0
Venezuela,VEN,1967,0.0
Venezuela,VEN,1968,0.0
Venezuela,VEN,1969,0.0
Venezuela,VEN,1970,0.0
Venezuela,VEN,1971,0.0
Venezuela,VEN,1972,0.0
Venezuela,VEN,1973,0.0
Venezuela,VEN,1974,0.0
Venezuela,VEN,1975,0.0
Venezuela,VEN,1976,0.0
Venezuela,VEN,1977,0.0
Venezuela,VEN,1978,0.0
Venezuela,VEN,1979,0.0
Venezuela,VEN,1980,0.0
Venezuela,VEN,1981,0.0
Venezuela,VEN,1982,0.0
Venezuela,VEN,1983,0.0
Venezuela,VEN,1984,0.0
Venezuela,VEN,1985,0.0
Venezuela,VEN,1986,0.0
Venezuela,VEN,1987,0.0
Venezuela,VEN,1988,0.0
Venezuela,VEN,1989,0.0
Venezuela,VEN,1990,0.0
Venezuela,VEN,1991,0.0
Venezuela,VEN,1992,0.0
Venezuela,VEN,1993,0.0
Venezuela,VEN,1994,0.0
Venezuela,VEN,1995,0.0
Venezuela,VEN,1996,0.0
Venezuela,VEN,1997,0.0
Venezuela,VEN,1998,0.0
Venezuela,VEN,1999,0.0
Venezuela,VEN,2000,0.0
Venezuela,VEN,2001,0.0
Venezuela,VEN,2002,0.0
Venezuela,VEN,2003,0.0
Venezuela,VEN,2004,0.0
Venezuela,VEN,2005,0.0
Venezuela,VEN,2006,0.0
Venezuela,VEN,2007,0.0
Venezuela,VEN,2008,0.0
Venezuela,VEN,2009,0.0
Venezuela,VEN,2010,0.0
Venezuela,VEN,2011,0.0
Venezuela,VEN,2012,0.0
Venezuela,VEN,2013,0.023498965
Venezuela,VEN,2014,0.03016348
Venezuela,VEN,2015,0.020433994
Venezuela,VEN,2016,0.030968571
Venezuela,VEN,2017,0.029778989
Venezuela,VEN,2018,0.03601453
Venezuela,VEN,2019,0.037827827
Venezuela,VEN,2020,0.041011292
Venezuela,VEN,2021,0.03862083
